2014-07-24 15:08:27 [main:0] - [DEBUG] Created connection 536150103.
2014-07-24 15:08:27 [main:15] - [DEBUG] {conn-100000} Connection
2014-07-24 15:08:27 [main:17] - [DEBUG] {conn-100000} Preparing Statement:   SELECT JO.TK_HIN ,JO.SYUYO_SU ,JO.ZAIKO_SU ,JO.LOC_ZAIKO_SU  ,JO.HIKI_ZAIKO_SU  ,JO.SEBAN ,JO.LST_NOU_YMD,JO.LST_HAN_YMD  ,(NVL(NOU.SUM_SIJI_SU,0) - NVL(NOU.SUM_HIKI_SU,0)) AS FUSOKU_SU  ,M01.KANRI_KOJO ,M01.S_KYOTEN ,M01.SEIZO_BA ,M01.LOCATION  ,M01.HAKO_SYU ,M01.TK_UKE ,M01.TK_SEBAN  ,NVL(RI.SIJI_SU,0) AS HAN_SU  FROM TB_ZAIKO_JO JO  ,TB_HINBAN_MA M01  ,(SELECT TK_HIN,SYUYO_SU,SUM(SIJI_SU) AS SUM_SIJI_SU ,SUM(HIKI_SU) AS  SUM_HIKI_SU  FROM TB_NOUHIN_JO GROUP BY TK_HIN ,SYUYO_SU  ) NOU ,(SELECT TK_HIN ,SYUYO_SU ,SUM(SIJI_SU) AS SIJI_SU  FROM TB_HANNYU_RI  GROUP BY TK_HIN ,SYUYO_SU  ) RI  WHERE   JO.TK_HIN = M01.TK_HIN  AND JO.SYUYO_SU = M01.SYUYO_SU  AND JO.TK_HIN = NOU.TK_HIN(+)  AND JO.SYUYO_SU = NOU.SYUYO_SU(+)  AND JO.TK_HIN = RI.TK_HIN(+)  AND JO.SYUYO_SU = RI.SYUYO_SU(+)  ORDER BY JO.TK_HIN ,JO.SYUYO_SU   
2014-07-24 15:08:27 [main:149] - [DEBUG] {pstm-100001} Executing Statement:   SELECT JO.TK_HIN ,JO.SYUYO_SU ,JO.ZAIKO_SU ,JO.LOC_ZAIKO_SU  ,JO.HIKI_ZAIKO_SU  ,JO.SEBAN ,JO.LST_NOU_YMD,JO.LST_HAN_YMD  ,(NVL(NOU.SUM_SIJI_SU,0) - NVL(NOU.SUM_HIKI_SU,0)) AS FUSOKU_SU  ,M01.KANRI_KOJO ,M01.S_KYOTEN ,M01.SEIZO_BA ,M01.LOCATION  ,M01.HAKO_SYU ,M01.TK_UKE ,M01.TK_SEBAN  ,NVL(RI.SIJI_SU,0) AS HAN_SU  FROM TB_ZAIKO_JO JO  ,TB_HINBAN_MA M01  ,(SELECT TK_HIN,SYUYO_SU,SUM(SIJI_SU) AS SUM_SIJI_SU ,SUM(HIKI_SU) AS  SUM_HIKI_SU  FROM TB_NOUHIN_JO GROUP BY TK_HIN ,SYUYO_SU  ) NOU ,(SELECT TK_HIN ,SYUYO_SU ,SUM(SIJI_SU) AS SIJI_SU  FROM TB_HANNYU_RI  GROUP BY TK_HIN ,SYUYO_SU  ) RI  WHERE   JO.TK_HIN = M01.TK_HIN  AND JO.SYUYO_SU = M01.SYUYO_SU  AND JO.TK_HIN = NOU.TK_HIN(+)  AND JO.SYUYO_SU = NOU.SYUYO_SU(+)  AND JO.TK_HIN = RI.TK_HIN(+)  AND JO.SYUYO_SU = RI.SYUYO_SU(+)  ORDER BY JO.TK_HIN ,JO.SYUYO_SU   
2014-07-24 15:08:27 [main:150] - [DEBUG] {pstm-100001} Parameters: []
2014-07-24 15:08:27 [main:150] - [DEBUG] {pstm-100001} Types: []
2014-07-24 15:08:28 [main:683] - [DEBUG] {rset-100002} ResultSet
2014-07-24 15:08:28 [main:703] - [DEBUG] {rset-100002} Header: [TK_UKE, TK_SEBAN, TK_HIN, SYUYO_SU, ZAIKO_SU, LOC_ZAIKO_SU, HIKI_ZAIKO_SU, FUSOKU_SU, KANRI_KOJO, S_KYOTEN, SEIZO_BA, SEBAN, HAN_SU, LOCATION, LST_NOU_YMD, LST_HAN_YMD]
2014-07-24 15:08:28 [main:738] - [DEBUG] {rset-100002} Result: [W5   , 0008, 5121135130               , 30, 180, 180, 180, 0, 2592, SH1 ,     ,           , 0, W5-0008  , 20140424, 20140407]
2014-07-24 15:08:28 [main:749] - [DEBUG] {rset-100002} Result: [W5   , 0019, 5121160110               , 30, 540, 120, -570, 570, 2592, SH1 ,     , KW5019    , 20550, W5-0019  , 20140523, 20140523]
2014-07-24 15:08:28 [main:750] - [DEBUG] {rset-100002} Result: [W5   , 0009, 5121235080               , 30, 90, 90, 90, 0, 2592, SH1 ,     ,           , 0, W5-0009  , 20140512, 20140213]
2014-07-24 15:08:28 [main:750] - [DEBUG] {rset-100002} Result: [W5   , 0020, 5121260090               , 30, 540, 120, -540, 540, 2592, SH1 ,     , KW5020    , 20550, W5-0020  , 20140523, 20140523]
2014-07-24 15:08:28 [main:750] - [DEBUG] {rset-100002} Result: [W5   , 0006, 5122135180               , 32, 0, 0, 0, 0, 2592, SH1 ,     ,           , 0, W5-0006  , 20090729, 20090728]
2014-07-24 15:08:28 [main:751] - [DEBUG] {rset-100002} Result: [W5   , 0007, 5122235200               , 32, 448, 32, -640, 640, 2592, SH1 ,     ,           , 20480, W5-0007  , 20140523, 20140523]
2014-07-24 15:08:28 [main:751] - [DEBUG] {rset-100002} Result: [W1   , 0002, 5160160010               , 10, 280, 190, 0, 0, 2592, SH1 ,     ,           , 4910, W1-0002  , 20140523, 20140523]
2014-07-24 15:08:28 [main:752] - [DEBUG] {rset-100002} Result: [W1   , 0003, 5160260010               , 10, 280, 190, 0, 0, 2592, SH1 ,     ,           , 4910, W1-0003  , 20140523, 20140523]
2014-07-24 15:08:28 [main:752] - [DEBUG] {rset-100002} Result: [W1   , 0004, 5161760020               , 15, 15, 15, 15, 0, 2592, SH1 ,     ,           , 0, W1-0004  , 20110926, 20110926]
2014-07-24 15:08:28 [main:752] - [DEBUG] {rset-100002} Result: [W1   , 0005, 5161860020               , 15, 15, 15, 15, 0, 2592, SH1 ,     ,           , 0, W1-0005  , 20110928, 20110928]
2014-07-24 15:08:28 [main:753] - [DEBUG] {rset-100002} Result: [W1   , 0012, 5177035040               , 6, 142, 136, 118, 0, 2592, 001 ,     ,           , 252, W1-0012  , 20140523, 20140516]
2014-07-24 15:08:28 [main:761] - [DEBUG] {rset-100002} Result: [W1   , 0014, 5177135210               , 3, 140, 131, 116, 0, 2592, 002 ,     ,           , 252, W1-0014  , 20140523, 20140516]
2014-07-24 15:08:28 [main:761] - [DEBUG] {rset-100002} Result: [W1   , 0015, 5177235180               , 3, 136, 130, 115, 0, 2592, 002 ,     ,           , 252, W1-0015  , 20140523, 20140516]
2014-07-24 15:08:28 [main:762] - [DEBUG] {rset-100002} Result: [W1   , 0013, 5178035020               , 6, 141, 135, 117, 0, 2592, 001 ,     ,           , 252, W1-0013  , 20140523, 20140516]
2014-07-24 15:08:28 [main:762] - [DEBUG] {rset-100002} Result: [N4   , 0021, 5190660100               , 70, 210, 210, 70, 0, 2592, SH1 ,     , KW6021    , 3010, N4-0021  , 20140523, 20140523]
2014-07-24 15:08:28 [main:762] - [DEBUG] {rset-100002} Result: [W1   , 0001, 5196360070               , 15, 135, 135, 135, 0, 2592, SH1 ,     ,           , 0, W1-0001  , 20140218, 20140217]
2014-07-24 15:08:28 [main:763] - [DEBUG] {rset-100002} Result: [C8   , 0400, 5202330361               , 24, 960, 936, 864, 0, 2592, 002 ,     ,           , 1104, C8-0400  , 20140523, 20140522]
2014-07-24 15:08:28 [main:763] - [DEBUG] {rset-100002} Result: [C8   , 0412, 5202353100               , 24, 552, 528, 480, 0, 2592, 002 ,     ,           , 1200, C8-0412  , 20140523, 20140522]
